name,domain,type,priority_rank
Southern Nazarene University,snu.edu,4-year,
Southern Oregon State College,sou.edu,4-year,
Southern University at Shreveport,susla.edu,4-year,
Southwest Research Institute,swri.edu,4-year,
Southwest Texas State University,swt.edu,4-year,
Southwestern Adventist College,swac.edu,4-year,
Southwestern Assemblies of God University,sagu.edu,4-year,
Southwestern Christian College,swcc.edu,4-year,
Southwestern College (CA),swccd.edu,4-year,
Southwestern College (KS),sckans.edu,4-year,
Southwestern Illinois College,swic.edu,4-year,
Southwestern Indian Polytechnic Institute,sipi.edu,4-year,
Southwestern Michigan College,swmich.edu,4-year,
Spartanburg Methodist College,smcsc.edu,4-year,
Spokane Colleges,spokane.edu,4-year,
Spoon River College,src.edu,4-year,
Spring Arbor College,arbor.edu,4-year,
St. Ambrose University,sau.edu,4-year,
St. Andrews Presbyterian College,sapc.edu,4-year,
St. Augustine's University,st-aug.edu,4-year,
St. Francis College,sfc.edu,4-year,
St. John's College - Annapolis,sjca.edu,4-year,
St. John's College - Santa Fe,sjcsf.edu,4-year,
St. Johns River State College,sjrstate.edu,4-year,
St. Joseph College (CT),sjc.edu,4-year,
St. Joseph's College (ME),sjcme.edu,4-year,
St. Louis College of Pharmacy,stlcop.edu,4-year,
St. Martin's College,stmartin.edu,4-year,
St. Petersburg College,spcollege.edu,4-year,
St. Thomas University (FL),stu.edu,4-year,
Stark State College,starkstate.edu,4-year,
